key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
"TANG J, 2021, ",Blindly predict image and video quality in the wild,Tang J;Fang Y;Dong Y;Xie R;Gu X;Zhai G;Song L,ACM INTERNATIONAL CONFERENCE PROCEEDING SERIES,NA,NA,NA,NA,2021,ASSOCIATION FOR COMPUTING MACHINERY,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123045044&doi=10.1145%2f3469877.3490588&partnerID=40&md5=994dc2d1cc13642ebc0d1707887a6b77,"Emerging interests have been brought to blind quality assessment for images/videos captured in the wild, known as in-the-wild i/vqa. Prior deep learning based approaches have achieved considerable progress in i/vqa, but are intrinsically troubled with two issues. Firstly, most existing methods fine-tune the image-classification-oriented pre-trained models for the absence of large-scale i/vqa datasets. However, the task misalignment between i/vqa and image classification leads to degraded generalization performance. Secondly, existing vqa methods directly conduct temporal pooling on the predicted frame-wise scores, resulting in ambiguous inter-frame relation modeling. In this work, we propose a two-stage architecture to separately predict image and video quality in the wild. In the first stage, we resort to supervised contrastive learning to derive quality-aware representations that facilitate the prediction of image quality. Specifically, we propose a novel quality-aware contrastive loss to pull together samples of similar quality and push away quality-different ones in embedding space. In the second stage, we develop a relation-guided temporal attention (rta) module for video quality prediction, which captures global inter-frame dependencies in embedding space to learn frame-wise attention weights for frame quality aggregation. Extensive experiments demonstrate that our approach performs favorably against state-of-the-art methods on both authentically distorted image benchmarks and video benchmarks. © 2021 acm.",ENGLISH,10.1145/3469877.3490588,classification (of information);  deep learning;  embeddings;  image quality;  large dataset; blind quality assessments;  embeddings;  image/video quality;  image/video quality prediction;  images classification;  in the wild;  quality prediction;  relation-guided temporal attention;  supervised contrastive learning;  video quality; forecasting
"KASTRIKIN VA, 2021, ","A new method for calculating the population density of terrestrial animals using camera traps with an assessment of the roe deer (capreolus pygargus pallas, 1771) (cervidae, mammalia) population density in khingan nature reserve as an example",Kastrikin Va;Podol'skii Sa;Babykina Ms,BIOLOGY BULLETIN,10623590,48,10,1857-1861,2021,PLEIADES JOURNALS,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122990139&doi=10.1134%2fS1062359021100125&partnerID=40&md5=b998cb0935e61fee08fb66075358db91,"Abstract—a new method for calculating the population density of terrestrial animals, which are not amenable to individual identification, using photos or video images obtained by automatic cameras is proposed for discussion. The method is based on the continuous registration of animals on sites formed by the detection zones of camera traps with subsequent extrapolation of the results to the entire study area. A much simpler mathematical apparatus is the significant difference between our proposed method and other methods of accounting by camera traps, which allows it to be applied by a wide range of users. Both the positional measures and the scattering measures necessary for subsequent statistical analysis are calculated quite easily. Furthermore, one of our method’s advantages is that it is not necessary to know the speed of animal movement, the most difficult parameter to calculate, especially in the snowless period of the year. An example of using the bootstrap method is given for the case when the input data distribution parameters do not correspond to the normal ones. Using the de moivre–laplace theorem, the probability that the animals resting in their beds would get into the detection zone of the camera trap matrices is estimated, which is necessary for the correct use of the method proposed. Solutions are proposed for cases when this probability is low. The problems of our proposed method and possible solutions are described. An example of calculating the density of roe deer in the open oak forest of khingan nature reserve is given on the basis of our data obtained from four camera traps. © 2021, pleiades publishing, inc.",ENGLISH,10.1134/S1062359021100125,NA
"HUANG JH, 2021, ",Termite pest identification method based on deep convolution neural networks,Huang Jh;Liu Yt;Ni Hc;Chen By;Huang Sy;Tsai Hk;Li Hf,JOURNAL OF ECONOMIC ENTOMOLOGY,00220493,114,6,2452-2459,2021,OXFORD UNIVERSITY PRESS,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122401040&doi=10.1093%2fjee%2ftoab162&partnerID=40&md5=785e76dd80d1a44131a4c15fe3132f9a,"Several species of drywood termites, subterranean termites, and fungus-growing termites cause extensive economic losses annually worldwide. Because no universal method is available for controlling all termites, correct species identification is crucial for termite management. Despite deep neural network technologies' promising performance in pest recognition, a method for automatic termite recognition remains lacking. To develop an automated deep learning classifier for termite image recognition suitable for mobile applications, we used smartphones to acquire 18,000 original images each of four termite pest species: kalotermitidae: cryptotermes domesticus (haviland); rhinotermitidae: coptotermes formosanus shiraki and reticulitermes flaviceps (oshima); and termitidae: odontotermes formosanus (shiraki). Each original image included multiple individuals, and we applied five image segmentation techniques for capturing individual termites. We used 24,000 individual-termite images (4 species × 2 castes × 3 groups × 1,000 images) for model development and testing. We implemented a termite classification system by using a deep learning-based model, mobilenetv2. Our models achieved high accuracy scores of 0.947, 0.946, and 0.929 for identifying soldiers, workers, and both castes, respectively, which is not significantly different from human expert performance. We further applied image augmentation techniques, including geometrical transformations and intensity transformations, to individual-termite images. The results revealed that the same classification accuracy can be achieved by using 1,000 augmented images derived from only 200 individual-termite images, thus facilitating further model development on the basis of many fewer original images. Our image-based identification system can enable the selection of termite control tools for pest management professionals or homeowners. © 2021 the author(s). Published by oxford university press on behalf of entomological society of america. All rights reserved.",ENGLISH,10.1093/jee/toab162,animal;  isoptera;  pest control; animals;  isoptera;  neural networks; computer;  pest control
"ZHANG L, 2021, ",Advkin: adversarial convolutional network for kinship verification,Zhang L;Duan Q;Zhang D;Jia W;Wang X,IEEE TRANSACTIONS ON CYBERNETICS,21682267,51,12,5883-5896,2021,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122204244&doi=10.1109%2fTCYB.2019.2959403&partnerID=40&md5=490fcc5072f8f73c9b1960e556d8f759,"Kinship verification in the wild is an interesting and challenging problem. The goal of kinship verification is to determine whether a pair of faces are blood relatives or not. Most previous methods for kinship verification can be divided as handcrafted features-based shallow learning methods and convolutional neural network (cnn)-based deep-learning methods. Nevertheless, these methods are still facing the challenging task of recognizing kinship cues from facial images. The reason is that the family id information and the distribution difference of pairwise kin-faces are rarely considered in kinship verification tasks. To this end, a family id-based adversarial convolutional network (advkin) method focused on discriminative kin features is proposed for both small-scale and large-scale kinship verification in this article. The merits of this article are four-fold: 1) for kin-relation discovery, a simple yet effective self-adversarial mechanism based on a negative maximum mean discrepancy (nmmd) loss is formulated as attacks in the first fully connected layer; 2) a pairwise contrastive loss and family id-based softmax loss are jointly formulated in the second and third fully connected layer, respectively, for supervised training; 3) a two-stream network architecture with residual connections is proposed in advkin; and 4) for more fine-grained deep kin-feature augmentation, an ensemble of patch-wise advkin networks is proposed (e-advkin). Extensive experiments on 4 small-scale benchmark kinface datasets and 1 large-scale families in the wild (fiw) dataset from the first large-scale kinship recognition data challenge, show the superiority of our proposed advkin model over other state-of-the-art approaches. © 2013 ieee.",ENGLISH,10.1109/TCYB.2019.2959403,convolution;  convolutional neural networks;  deep learning;  network architecture; adversarial loss;  convolutional networks;  convolutional neural network;  id-based;  kinship verification;  large-scales;  learning methods;  maximum mean discrepancy;  small scale; large dataset; family;  human; family;  humans;  neural networks; computer
"NUANMEESRI S, 2021, ",Multi-layer perceptron neural network and internet of things for improving the walking stick with daily travel surveillance of suburban elderly,Nuanmeesri S;Poomhiran L,INTERNATIONAL JOURNAL OF ENGINEERING TRENDS AND TECHNOLOGY,23490918,69,12,294-302,2021,SEVENTH SENSE RESEARCH GROUP,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121984193&doi=10.14445%2f22315381%2fIJETT-V69I12P235&partnerID=40&md5=1fc2181388b3f0a1dfb5e3421bf85d60,"Many countries are entering the era of the elderly, causing the population of the elderly to increase steadily. However, these elderly people still want to be self-reliant, especially walking anywhere without needing a caretaker. Thereby, the walking sticks have become a daily tool to support and walk for the elderly. This paper proposed improving the walking stick as an intelligent cane that is a walking aid and monitoring tool for the daily travel surveillance of suburban elderly in thailand. The intelligent cane's daily travel surveillance forecasting model was built by applying the multi-layer perceptron neural network. Further, the performance of the model accuracy was enhanced by synthesizing imbalanced data based on synthetic minority over-sampling technique. The effectiveness of the model showed that the prediction accuracy was 96.89%, the precision was 97.62%, the recall was 98.80%, and f-measure was 98.21%. Moreover, the developed intelligent cane architectures allow their family to monitor, track and communicate with the elderly using the internet of things technology and real-time camera by remote control via the mobile application. As a result, this work showed that the suburban elderly could perceive, learn, and appreciate the recent technology necessary for their life. © 2021 seventh sense research group®.",ENGLISH,10.14445/22315381/IJETT-V69I12P235,NA
"KUTUGATA M, 2021, ",Automatic camera-trap classification using wildlife-specific deep learning in nilgai management,Kutugata M;Baumgardt J;Goolsby Ja;Racelis Ae,JOURNAL OF FISH AND WILDLIFE MANAGEMENT,1944687X,12,2,412-421,2021,U.S. FISH AND WILDLIFE SERVICE,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121590508&doi=10.3996%2fJFWM-20-076&partnerID=40&md5=4cf8575f9d3dd8b33ff5d507f288f372,"Camera traps provide a low-cost approach to collect data and monitor wildlife across large scales but hand-labeling images at a rate that outpaces accumulation is difficult. Deep learning, a subdiscipline of machine learning and computer science, can address the issue of automatically classifying camera-trap images with a high degree of accuracy. This technique, however, may be less accessible to ecologists or small-scale conservation projects, and has serious limitations. In this study, we trained a simple deep learning model using a dataset of 120,000 images to identify the presence of nilgai boselaphus tragocamelus, a regionally specific nonnative game animal, in camera-trap images with an overall accuracy of 97%. We trained a second model to identify 20 groups of animals and one group of images without any animals present, labeled as ‘‘none,’’ with an accuracy of 89%. Lastly, we tested the multigroup model on images collected of similar species, but in the southwestern united states, resulting in significantly lower precision and recall for each group. This study highlights the potential of deep learning for automating camera-trap image processing workflows, provides a brief overview of image-based deep learning, and discusses the often-understated limitations and methodological considerations in the context of wildlife conservation and species monitoring. Copyright: all material appearing in the journal of fish and wildlife management is in the public domain and may be reproduced or copied without permission unless specifically noted with the copyright symbol &. Citation of the source, as given above, is requested.",ENGLISH,10.3996/JFWM-20-076,NA
"D'AMATO E, 2021, ",Detection of pitt–hopkins syndrome based on morphological facial features,D'amato E;Reyes-Aldasoro Cc;Consiglio A;D'amato G;Faienza Mf;Zollino M,APPLIED SCIENCES (SWITZERLAND),20763417,11,24,NA,2021,MDPI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121434760&doi=10.3390%2fapp112412086&partnerID=40&md5=7b882dcc36974df8c9c20e83de0c087a,"This work describes a non-invasive, automated software framework to discriminate between individuals with a genetic disorder, pitt–hopkins syndrome (pths), and healthy individuals through the identification of morphological facial features. The input data consist of frontal facial photographs in which faces are located using histograms of oriented gradients feature descriptors. Pre-processing steps include color normalization and enhancement, scaling down, rotation, and cropping of pictures to produce a series of images of faces with consistent dimensions. Sixty-eight facial landmarks are automatically located on each face through a cascade of regression functions learnt via gradient boosting to estimate the shape from an initial approximation. The intensities of a sparse set of pixels indexed relative to this initial estimate are used to determine the landmarks. A set of carefully selected geometric features, for example, the relative width of the mouth or angle of the nose, is extracted from the landmarks. The features are used to investigate the statistical differences between the two populations of pths and healthy controls. The methodology was tested on 71 individuals with pths and 55 healthy controls. The software was able to classify individuals with an accuracy rate of 91%, while pediatricians achieved a recognition rate of 74%. Two geometric features related to the nose and mouth showed significant statistical difference between the two populations. © 2021 by the authors. Licensee mdpi, basel, switzerland.",ENGLISH,10.3390/app112412086,NA
"HA T, 2021, ",A semi-automatic workflow to extract irregularly aligned plots and sub-plots: a case study on lentil breeding populations,Ha T;Duddu H;Bett K;Shirtliffe Sj,REMOTE SENSING,20724292,13,24,NA,2021,MDPI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121345405&doi=10.3390%2frs13244997&partnerID=40&md5=8f757af5f6a0c53f7a90a1d2540830d4,"Plant breeding experiments typically contain a large number of plots, and obtaining phenotypic data is an integral part of most studies. Image-based plot-level measurements may not always produce adequate precision and will require sub-plot measurements. To perform image analysis on individual sub-plots, they must be segmented from plots, other sub-plots, and surrounding soil or vegetation. This study aims to introduce a semi-automatic workflow to segment irregularly aligned plots and sub-plots in breeding populations. Imagery from a replicated lentil diversity panel phenotyping experiment with 324 populations was used for this study. Image-based techniques using a convolution filter on an excess green index (exg) were used to enhance and highlight plot rows and, thus, locate the plot center. Multi-threshold and watershed segmentation were then combined to separate plants, ground, and sub-plot within plots. Algorithms of local maxima and pixel resizing with surface tension parameters were used to detect the centers of sub-plots. A total of 3489 reference data points was collected on 30 random plots for accuracy assessment. It was found that all plots and sub-plots were successfully extracted with an overall plot extraction accuracy of 92%. Our methodology addressed some common issues related to plot segmentation, such as plot alignment and overlapping canopies in the field experiments. The ability to segment and extract phenometric information at the sub-plot level provides opportunities to improve the precision of image-based phenotypic measurements at field-scale. © 2021 by the authors. Licensee mdpi, basel, switzerland.",ENGLISH,10.3390/rs13244997,antennas;  image enhancement;  image segmentation; breeding populations;  case-studies;  image-based;  phenotypic data;  plant breeding;  plant phenotyping;  semi-automatics;  vegetation index;  watershed segmentation;  work-flows; vegetation
"COSMA A, 2021, ",Wildgait: learning gait representations from raw surveillance streams,Cosma A;Radoi Ie,SENSORS,14248220,21,24,NA,2021,MDPI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121104996&doi=10.3390%2fs21248387&partnerID=40&md5=f940914104a53c6a874f5e2c08b991db,"The use of gait for person identification has important advantages such as being non-invasive, unobtrusive, not requiring cooperation and being less likely to be obscured compared to other biometrics. Existing methods for gait recognition require cooperative gait scenarios, in which a single person is walking multiple times in a straight line in front of a camera. We address the challenges of real-world scenarios in which camera feeds capture multiple people, who in most cases pass in front of the camera only once. We address privacy concerns by using only motion information of walking individuals, with no identifiable appearance-based information. As such, we propose a self-supervised learning framework, wildgait, which consists of pre-training a spatio-temporal graph convolutional network on a large number of automatically annotated skeleton sequences obtained from raw, real-world surveillance streams to learn useful gait signatures. We collected and compiled the largest pretraining dataset to date of anonymized walking skeletons called uncooperative wild gait, containing over 38k tracklets of anonymized walking 2d skeletons. We make the dataset available to the research community. Our results surpass the current state-of-the-art pose-based gait recognition solutions. Our proposed method is reliable in training gait recognition methods in unconstrained environments, especially in settings with scarce amounts of annotated data. © 2021 by the authors. Licensee mdpi, basel, switzerland.",ENGLISH,10.3390/s21248387,cameras;  convolutional neural networks;  graph neural networks;  musculoskeletal system;  pattern recognition;  supervised learning; gait recognition;  graph neural networks;  motion information;  multiple people;  person identification;  pose-estimation;  pre-training;  privacy concerns;  real-world scenario;  self-supervised learning; gait analysis; biometry;  gait;  human;  motion;  river;  walking; biometry;  gait;  humans;  motion;  rivers;  walking
"PUDARUTH S, 2021, ",Medicplant: a mobile application for the recognition of medicinal plants from the republic of mauritius using deep learning in real-time,Pudaruth S;Mahomoodally Mf;Kissoon N;Chady F,IAES INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE,20894872,10,4,938-947,2021,INSTITUTE OF ADVANCED ENGINEERING AND SCIENCE,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121028910&doi=10.11591%2fIJAI.V10.I4.PP938-947&partnerID=40&md5=7ad4a05ddfb665110b5ff6345f896a79,"To facilitate the recognition and classification of medicinal plants that are commonly used by mauritians, a mobile application which can recognise seventy different medicinal plants has been developed. A convolutional neural network (cnn) based on the tensorflow framework has been used to create the classification model. The system has a recognition accuracy of more than 90%. Once the plant is recognised, a number of useful information is displayed to the user. Such information includes the common name of the plant, its english name and also its scientific name. The plant is also classified as either exotic or endemic followed by its medicinal applications and a short description. Contrary to similar systems, the application does not require an internet connection to work. Also, there are no pre-processing steps, and the images can be taken in broad daylight. Furthermore, any part of the plant can be photographed. It is a fast and non-intrusive method to identify medicinal plants. This mobile application will help the mauritian population to increase their familiarity of medicinal plants, help taxonomists to experiment with new ways of identifying plant species, and will also contribute to the protection of endangered plant species. © 2021, institute of advanced engineering and science. All rights reserved.",ENGLISH,10.11591/IJAI.V10.I4.PP938-947,NA
